date,cases_DateRepConf
2020-03-06,1
2020-03-08,2
2020-03-09,10
2020-03-10,7
2020-03-11,12
2020-03-12,2
2020-03-13,9
2020-03-14,36
2020-03-15,22
2020-03-16,2
2020-03-17,38
2020-03-18,11
2020-03-19,13
2020-03-20,12
2020-03-21,55
2020-03-22,57
2020-03-23,65
2020-03-24,68
2020-03-25,62
2020-03-26,46
2020-03-27,78
2020-03-28,191
2020-03-29,258
2020-03-30,69
2020-03-31,402
2020-04-01,158
2020-04-02,231
2020-04-03,289
2020-04-04,49
2020-04-05,107
2020-04-06,308
2020-04-07,57
2020-04-08,74
2020-04-09,154
2020-04-10,69
2020-04-11,163
2020-04-12,146
2020-04-13,195
2020-04-14,193
2020-04-15,179
2020-04-16,117
2020-04-17,140
2020-04-18,139
2020-04-19,121
2020-04-20,135
2020-04-21,74
2020-04-22,73
2020-04-23,100
2020-04-24,149
2020-04-25,51
2020-04-26,155
2020-04-27,123
2020-04-28,126
2020-04-29,192
2020-04-30,150
2020-05-01,127
2020-05-02,50
2020-05-03,123
2020-05-04,122
2020-05-05,173
2020-05-06,176
2020-05-07,94
2020-05-08,75
2020-05-09,105
2020-05-10,85
2020-05-11,172
2020-05-12,153
2020-05-13,154
2020-05-14,176
2020-05-15,120
2020-05-16,121
2020-05-17,151
2020-05-18,118
2020-05-19,165
2020-05-20,148
2020-05-21,96
2020-05-22,91
2020-05-23,111
2020-05-24,190
2020-05-25,160
2020-05-26,243
2020-05-27,257
2020-05-28,328
2020-05-29,579
2020-05-30,387
2020-05-31,270
2020-06-01,214
2020-06-02,163
2020-06-03,255
2020-06-04,266
2020-06-05,54
2020-06-06,281
2020-06-07,169
2020-06-08,258
2020-06-09,217
2020-06-10,236
2020-06-11,189
2020-06-12,292
2020-06-13,288
2020-06-14,271
2020-06-15,229
2020-06-16,197
2020-06-17,201
2020-06-18,190
2020-06-19,290
2020-06-20,302
2020-06-21,270
2020-06-22,182
2020-06-23,471
2020-06-24,258
2020-06-25,472
2020-06-26,393
2020-06-27,325
2020-06-28,369
2020-06-29,574
2020-06-30,363
2020-07-01,356
2020-07-02,124
2020-07-03,678
2020-07-04,644
2020-07-05,1182
2020-07-06,1015
2020-07-07,864
2020-07-08,1368
2020-07-09,613
2020-07-10,697
2020-07-11,775
2020-07-12,1139
2020-07-13,526
2020-07-14,344
2020-07-15,604
2020-07-16,1664
2020-07-17,972
2020-07-18,1597
2020-07-19,1479
2020-07-20,1156
2020-07-21,1349
2020-07-22,807
2020-07-23,1318
2020-07-24,1184
2020-07-25,1011
2020-07-26,1156
2020-07-27,1046
2020-07-28,789
2020-07-29,801
2020-07-30,1878
2020-07-31,2283
2020-08-01,2626
2020-08-02,2675
2020-08-03,1517
2020-08-04,2977
2020-08-05,2402
2020-08-06,2012
2020-08-07,1812
2020-08-08,2690
2020-08-09,1663
2020-08-10,4165
2020-08-11,1469
2020-08-12,2539
2020-08-13,2404
2020-08-14,3816
2020-08-15,2459
2020-08-16,2060
2020-08-17,1908
2020-08-18,2949
2020-08-19,3053
2020-08-20,2553
2020-08-21,2704
2020-08-22,2822
2020-08-23,1016
2020-08-24,2492
2020-08-25,1570
2020-08-26,3145
2020-08-27,1576
2020-08-28,2064
2020-08-29,2017
2020-08-30,2186
2020-08-31,1892
2020-09-01,1816
2020-09-02,1162
2020-09-03,805
2020-09-04,1791
2020-09-05,1160
2020-09-06,1161
2020-09-07,512
2020-09-08,1420
